-65 0.000164428 -220
|Index|TCPP|TCVP|
|:-:|:-:|:-:|
|0|0.000164428|-25|
|1|0|-170|
|2|0|0|
|3|512|6403|
|4|-220|-65|
|5|-170|-25|
|6|2.88726e-006|0.00721812|
|7|1.25484e-013|2.5065e-009|
|8|2.00517e-012|2.0052e-008|
|9|1.01513e-011|6.76753e-008|
|10|3.20831e-011|1.60416e-007|
|11|7.83278e-011|3.13312e-007|
|12|1.62421e-010|5.41402e-007|
|13|3.00904e-010|8.59726e-007|
|14|5.13329e-010|1.28332e-006|
|15|8.22254e-010|1.82723e-006|
|16|1.25324e-009|2.50648e-006|
|17|1.83487e-009|3.33613e-006|
|18|2.59872e-009|4.33119e-006|
|19|3.57938e-009|5.50673e-006|
|20|4.81445e-009|6.87776e-006|
|21|6.34452e-009|8.45933e-006|
|22|8.21322e-009|1.02665e-005|
|23|1.04672e-008|1.23142e-005|
|24|1.3156e-008|1.46177e-005|
|25|1.63323e-008|1.71918e-005|
|26|2.00517e-008|2.00516e-005|
|27|2.43729e-008|2.32122e-005|
|28|2.93576e-008|2.66885e-005|
|29|3.50704e-008|3.04957e-005|
|30|4.1579e-008|3.46488e-005|
|31|4.8954e-008|3.91628e-005|
|32|5.72692e-008|4.40527e-005|
|33|6.66012e-008|4.93336e-005|
|34|7.70297e-008|5.50205e-005|
|35|8.86374e-008|6.11284e-005|
|36|1.0151e-007|6.76724e-005|
|37|1.15736e-007|7.46675e-005|
|38|1.31408e-007|8.21288e-005|
|39|1.4862e-007|9.00712e-005|
|40|1.6747e-007|9.85098e-005|
|41|1.88058e-007|0.00010746|
|42|2.10489e-007|0.000116936|
|43|2.34868e-007|0.000126953|
|44|2.61307e-007|0.000137527|
|45|2.89917e-007|0.000148672|
|46|3.20815e-007|0.000160403|
|47|3.54119e-007|0.000172736|
|48|3.8995e-007|0.000185685|
|49|4.28435e-007|0.000199266|
|50|4.697e-007|0.000213493|
|51|5.13876e-007|0.000228382|
|52|5.61098e-007|0.000243947|
|53|6.11501e-007|0.000260204|
|54|6.65227e-007|0.000277168|
|55|7.22417e-007|0.000294853|
|56|7.83217e-007|0.000313274|
|57|8.47776e-007|0.000332447|
|58|9.16247e-007|0.000352387|
|59|9.88783e-007|0.000373109|
|60|1.06554e-006|0.000394627|
|61|1.14669e-006|0.000416957|
|62|1.23238e-006|0.000440114|
|63|1.32279e-006|0.000464113|
|64|1.41808e-006|0.000488968|
|65|1.51844e-006|0.000514695|
|66|1.62402e-006|0.000541309|
|67|1.73502e-006|0.000568825|
|68|1.85161e-006|0.000597257|
|69|1.97398e-006|0.000626622|
|70|2.10232e-006|0.000656933|
|71|2.23682e-006|0.000688206|
|72|2.37767e-006|0.000720456|
|73|2.52507e-006|0.000753698|
|74|2.67922e-006|0.000787947|
|75|2.84032e-006|0.000823217|
|76|3.00857e-006|0.000859525|
|77|3.1842e-006|0.000896884|
|78|3.3674e-006|0.000935311|
|79|3.55839e-006|0.000974819|
|80|3.7574e-006|0.00101542|
|81|3.96464e-006|0.00105714|
|82|4.18033e-006|0.00109999|
|83|4.40471e-006|0.00114397|
|84|4.638e-006|0.00118911|
|85|4.88043e-006|0.00123543|
|86|5.13225e-006|0.00128293|
|87|5.39368e-006|0.00133163|
|88|5.66498e-006|0.00138155|
|89|5.94639e-006|0.00143271|
|90|6.23815e-006|0.00148511|
|91|6.54051e-006|0.00153877|
|92|6.85374e-006|0.0015937|
|93|7.17808e-006|0.00164993|
|94|7.5138e-006|0.00170747|
|95|7.86116e-006|0.00176633|
|96|8.22042e-006|0.00182652|
|97|8.59186e-006|0.00188807|
|98|8.97574e-006|0.00195098|
|99|9.37234e-006|0.00201528|
|100|9.78194e-006|0.00208097|
|101|1.02048e-005|0.00214807|
|102|1.06413e-005|0.0022166|
|103|1.10916e-005|0.00228657|
|104|1.1556e-005|0.002358|
|105|1.20349e-005|0.0024309|
|106|1.25285e-005|0.00250529|
|107|1.30371e-005|0.00258118|
|108|1.3561e-005|0.00265858|
|109|1.41006e-005|0.00273752|
|110|1.46561e-005|0.002818|
|111|1.52279e-005|0.00290004|
|112|1.58163e-005|0.00298366|
|113|1.64215e-005|0.00306887|
|114|1.70439e-005|0.00315569|
|115|1.76839e-005|0.00324413|
|116|1.83417e-005|0.0033342|
|117|1.90177e-005|0.00342593|
|118|1.97122e-005|0.00351932|
|119|2.04255e-005|0.00361439|
|120|2.1158e-005|0.00371116|
|121|2.19101e-005|0.00380964|
|122|2.2682e-005|0.00390984|
|123|2.34741e-005|0.00401179|
|124|2.42868e-005|0.00411549|
|125|2.51204e-005|0.00422096|
|126|2.59753e-005|0.00432822|
|127|2.68519e-005|0.00443728|
|128|2.77504e-005|0.00454815|
|129|2.86712e-005|0.00466086|
|130|2.96148e-005|0.00477541|
|131|3.05815e-005|0.00489182|
|132|3.15717e-005|0.0050101|
|133|3.25857e-005|0.00513028|
|134|3.36239e-005|0.00525236|
|135|3.46868e-005|0.00537636|
|136|3.57746e-005|0.00550229|
|137|3.68878e-005|0.00563018|
|138|3.80268e-005|0.00576002|
|139|3.91919e-005|0.00589185|
|140|4.03837e-005|0.00602568|
|141|4.16024e-005|0.00616151|
|142|4.28484e-005|0.00629937|
|143|4.41222e-005|0.00643926|
|144|4.54242e-005|0.00658121|
|145|4.67549e-005|0.00672523|
|146|4.81145e-005|0.00687134|
|147|4.95035e-005|0.00701954|
|148|5.09224e-005|0.00716985|
|149|5.23716e-005|0.0073223|
|150|5.38515e-005|0.00747689|
|151|5.53625e-005|0.00763363|
|152|5.69051e-005|0.00779255|
|153|5.84797e-005|0.00795366|
|154|6.00867e-005|0.00811697|
|155|6.17266e-005|0.0082825|
|156|6.33999e-005|0.00845026|
|157|6.51069e-005|0.00862027|
|158|6.68481e-005|0.00879254|
|159|6.8624e-005|0.00896709|
|160|7.04351e-005|0.00914393|
|161|7.22818e-005|0.00932308|
|162|7.41645e-005|0.00950456|
|163|7.60837e-005|0.00968836|
|164|7.804e-005|0.00987452|
|165|8.00337e-005|0.010063|
|166|8.20654e-005|0.010254|
|167|8.41355e-005|0.0104473|
|168|8.62444e-005|0.010643|
|169|8.83928e-005|0.0108411|
|170|9.0581e-005|0.0110417|
|171|9.28097e-005|0.0112447|
|172|9.50791e-005|0.0114502|
|173|9.73899e-005|0.0116582|
|174|9.97426e-005|0.0118687|
|175|0.000102138|0.0120817|
|176|0.000104575|0.0122973|
|177|0.000107057|0.0125154|
|178|0.000109582|0.012736|
|179|0.000112151|0.0129592|
|180|0.000114766|0.013185|
|181|0.000117425|0.0134135|
|182|0.000120131|0.0136445|
|183|0.000122883|0.0138781|
|184|0.000125683|0.0141145|
|185|0.000128529|0.0143534|
|186|0.000131424|0.0145951|
|187|0.000134368|0.0148394|
|188|0.00013736|0.0150865|
|189|0.000140402|0.0153363|
|190|0.000143495|0.0155888|
|191|0.000146638|0.0158441|
|192|0.000149833|0.0161021|
|193|0.000153079|0.0163629|
|194|0.000156378|0.0166265|
|195|0.00015973|0.0168929|
|196|0.000163135|0.0171622|
|197|0.000166595|0.0174343|
|198|0.000170109|0.0177092|
|199|0.000173679|0.017987|
|200|0.000177304|0.0182678|
|201|0.000180986|0.0185514|
|202|0.000184725|0.0188379|
|203|0.000188521|0.0191273|
|204|0.000192376|0.0194197|
|205|0.00019629|0.0197151|
|206|0.000200262|0.0200134|
|207|0.000204295|0.0203147|
|208|0.000208388|0.020619|
|209|0.000212543|0.0209263|
|210|0.000216759|0.0212367|
|211|0.000221038|0.0215501|
|212|0.000225379|0.0218666|
|213|0.000229785|0.0221861|
|214|0.000234254|0.0225088|
|215|0.000238788|0.0228345|
|216|0.000243388|0.0231634|
|217|0.000248054|0.0234954|
|218|0.000252786|0.0238306|
|219|0.000257586|0.0241689|
|220|0.000262454|0.0245104|
|221|0.000267391|0.0248551|
|222|0.000272397|0.025203|
|223|0.000277472|0.0255541|
|224|0.000282618|0.0259085|
|225|0.000287836|0.0262661|
|226|0.000293125|0.026627|
|227|0.000298487|0.0269912|
|228|0.000303922|0.0273587|
|229|0.000309431|0.0277295|
|230|0.000315014|0.0281036|
|231|0.000320672|0.028481|
|232|0.000326406|0.0288618|
|233|0.000332217|0.029246|
|234|0.000338105|0.0296336|
|235|0.000344071|0.0300246|
|236|0.000350115|0.0304189|
|237|0.000356239|0.0308168|
|238|0.000362442|0.031218|
|239|0.000368726|0.0316227|
|240|0.000375091|0.0320309|
|241|0.000381539|0.0324426|
|242|0.000388069|0.0328578|
|243|0.000394682|0.0332765|
|244|0.000401379|0.0336987|
|245|0.000408162|0.0341245|
|246|0.000415029|0.0345538|
|247|0.000421983|0.0349867|
|248|0.000429024|0.0354232|
|249|0.000436153|0.0358634|
|250|0.00044337|0.0363071|
|251|0.000450676|0.0367545|
|252|0.000458072|0.0372055|
|253|0.000465559|0.0376601|
|254|0.000473136|0.0381185|
|255|0.000480806|0.0385805|
|256|0.000488569|0.0390463|
|257|0.000496425|0.0395158|
|258|0.000504375|0.039989|
|259|0.000512421|0.040466|
|260|0.000520562|0.0409467|
|261|0.0005288|0.0414312|
|262|0.000537135|0.0419195|
|263|0.000545568|0.0424116|
|264|0.0005541|0.0429076|
|265|0.000562731|0.0434074|
|266|0.000571463|0.043911|
|267|0.000580296|0.0444185|
|268|0.000589231|0.0449299|
|269|0.000598268|0.0454452|
|270|0.000607409|0.0459644|
|271|0.000616654|0.0464875|
|272|0.000626004|0.0470145|
|273|0.00063546|0.0475456|
|274|0.000645023|0.0480805|
|275|0.000654693|0.0486195|
|276|0.000664471|0.0491625|
|277|0.000674358|0.0497095|
|278|0.000684355|0.0502605|
|279|0.000694462|0.0508155|
|280|0.000704681|0.0513746|
|281|0.000715012|0.0519378|
|282|0.000725457|0.0525051|
|283|0.000736015|0.0530764|
|284|0.000746687|0.0536519|
|285|0.000757476|0.0542315|
|286|0.00076838|0.0548153|
|287|0.000779402|0.0554032|
|288|0.000790542|0.0559953|
|289|0.0008018|0.0565915|
|290|0.000813179|0.057192|
|291|0.000824678|0.0577967|
|292|0.000836298|0.0584056|
|293|0.00084804|0.0590188|
|294|0.000859905|0.0596362|
|295|0.000871895|0.0602579|
