|Index|pVelocitySplineBuffer|pPositionSplineBuffer
|:-:|:-:|:-:
|0|-25|0.000164428
|1|-170|0
|2|0|0
|3|1281|512
|4|-65|-220
|5|-25|-170
|6|0.00543371|1.08675e-005
|7|3.1292e-007|7.82301e-011
|8|2.50335e-006|1.25168e-009
|9|8.44877e-006|6.3366e-009
|10|2.00265e-005|2.00267e-008
|11|3.91139e-005|4.88929e-008
|12|6.7588e-005|1.01383e-007
|13|0.000107325|1.87823e-007
|14|0.000160203|3.20414e-007
|15|0.000228097|5.13235e-007
|16|0.000312883|7.82239e-007
|17|0.000416437|1.14526e-006
|18|0.000540633|1.62199e-006
|19|0.000687347|2.23403e-006
|20|0.000858452|3.00482e-006
|21|0.00105582|3.95969e-006
|22|0.00128133|5.12584e-006
|23|0.00153685|6.53235e-006
|24|0.00182424|8.21016e-006
|25|0.00214539|1.01921e-005
|26|0.00250216|1.25128e-005
|27|0.00289642|1.52089e-005
|28|0.00333004|1.83188e-005
|29|0.00380488|2.18827e-005
|30|0.00432282|2.59429e-005
|31|0.00488571|3.05434e-005
|32|0.00549542|3.57299e-005
|33|0.00615382|4.15504e-005
|34|0.00686276|4.80544e-005
|35|0.00762411|5.52934e-005
|36|0.00843972|6.33207e-005
|37|0.00931145|7.21916e-005
|38|0.0102412|8.1963e-005
|39|0.0112307|9.26938e-005
|40|0.0122819|0.000104445
|41|0.0133967|0.000117279
|42|0.0145769|0.00013126
|43|0.0158243|0.000146455
|44|0.0171408|0.000162932
|45|0.0185282|0.00018076
|46|0.0199884|0.000200012
|47|0.0215232|0.000220762
|48|0.0231345|0.000243084
|49|0.0248241|0.000267057
|50|0.0265938|0.000292759
|51|0.0284455|0.000320272
|52|0.030381|0.000349678
|53|0.0324022|0.000381063
|54|0.0345107|0.000414512
|55|0.0367086|0.000450114
|56|0.0389976|0.000487959
|57|0.0413796|0.00052814
|58|0.0438563|0.00057075
|59|0.0464295|0.000615885
|60|0.0491012|0.000663642
|61|0.0518731|0.000714121
|62|0.054747|0.000767422
|63|0.0577247|0.000823649
|64|0.060808|0.000882907
|65|0.0639988|0.000945301
|66|0.0672988|0.00101094
|67|0.0707098|0.00107994
|68|0.0742337|0.0011524
|69|0.0778722|0.00122844
|70|0.0816271|0.00130818
|71|0.0855002|0.00139173
|72|0.0894932|0.00147922
|73|0.0936081|0.00157076
|74|0.0978465|0.00166648
|75|0.10221|0.0017665
|76|0.106701|0.00187094
|77|0.111321|0.00197994
|78|0.116071|0.00209363
|79|0.120954|0.00221213
|80|0.12597|0.00233558
|81|0.131123|0.00246411
|82|0.136413|0.00259787
|83|0.141843|0.00273699
|84|0.147414|0.0028816
|85|0.153128|0.00303186
|86|0.158986|0.00318791
|87|0.164991|0.00334988
|88|0.171144|0.00351794
|89|0.177447|0.00369222
|90|0.183902|0.00387288
|91|0.190509|0.00406008
|92|0.197272|0.00425395
|93|0.204191|0.00445467
|94|0.211269|0.00466239
|95|0.218507|0.00487726
|96|0.225907|0.00509946
|97|0.23347|0.00532913
|98|0.241199|0.00556645
|99|0.249094|0.00581159
|100|0.257158|0.0060647
|101|0.265393|0.00632596
|102|0.273799|0.00659554
|103|0.282379|0.00687362
|104|0.291135|0.00716036
|105|0.300067|0.00745594
|106|0.309178|0.00776055
|107|0.318469|0.00807436
|108|0.327943|0.00839755
|109|0.3376|0.00873031
|110|0.347442|0.00907281
|111|0.357471|0.00942525
|112|0.367689|0.00978782
|113|0.378096|0.0101607
|114|0.388696|0.0105441
|115|0.399489|0.0109382
|116|0.410477|0.0113431
|117|0.421662|0.0117592
|118|0.433045|0.0121865
|119|0.444628|0.0126253
|120|0.456412|0.0130758
|121|0.468399|0.0135382
|122|0.480591|0.0140127
|123|0.49299|0.0144995
|124|0.505596|0.0149987
|125|0.518411|0.0155107
|126|0.531438|0.0160356
|127|0.544676|0.0165737
|128|0.558129|0.0171251
|129|0.571798|0.01769
|130|0.585684|0.0182687
|131|0.599788|0.0188614
|132|0.614113|0.0194684
|133|0.62866|0.0200897
|134|0.64343|0.0207258
|135|0.658424|0.0213767
|136|0.673645|0.0220427
|137|0.689094|0.022724
|138|0.704773|0.023421
|139|0.720682|0.0241337
|140|0.736824|0.0248624
|141|0.753199|0.0256074
|142|0.76981|0.0263689
|143|0.786657|0.0271471
|144|0.803743|0.0279423
|145|0.821069|0.0287547
|146|0.838636|0.0295845
|147|0.856445|0.030432
|148|0.874499|0.0312975
|149|0.892798|0.0321811
|150|0.911345|0.0330831
|151|0.930139|0.0340039
|152|0.949184|0.0349435
|153|0.96848|0.0359023
|154|0.988028|0.0368806
|155|1.00783|0.0378785
|156|1.02789|0.0388963
|157|1.0482|0.0399343
|158|1.06878|0.0409928
|159|1.08961|0.042072
|160|1.1107|0.0431721
|161|1.13206|0.0442935
|162|1.15368|0.0454363
|163|1.17557|0.0466009
|164|1.19772|0.0477875
|165|1.22014|0.0489964
|166|1.24283|0.0502279
|167|1.26579|0.0514822
|168|1.28902|0.0527596
|169|1.31252|0.0540603
|170|1.3363|0.0553847
|171|1.36036|0.056733
|172|1.38469|0.0581055
|173|1.4093|0.0595025
|174|1.43419|0.0609242
|175|1.45936|0.0623709
|176|1.48481|0.063843
|177|1.51055|0.0653407
|178|1.53657|0.0668642
|179|1.56287|0.0684139
|180|1.58947|0.06999
|181|1.61635|0.0715929
|182|1.64352|0.0732228
|183|1.67099|0.0748801
|184|1.69874|0.0765649
|185|1.72679|0.0782776
|186|1.75513|0.0800186
|187|1.78377|0.081788
|188|1.81271|0.0835862
|189|1.84194|0.0854135
|190|1.87148|0.0872702
|191|1.90131|0.0891566
|192|1.93144|0.0910729
|193|1.96188|0.0930196
|194|1.99262|0.0949968
|195|2.02367|0.0970049
|196|2.05502|0.0990442
|197|2.08668|0.101115
|198|2.11865|0.103218
|199|2.15093|0.105352
|200|2.18352|0.10752
|201|2.21642|0.10972
|202|2.24963|0.111953
|203|2.28316|0.114219
|204|2.317|0.116519
|205|2.35116|0.118853
|206|2.38564|0.121221
|207|2.42043|0.123624
|208|2.45554|0.126062
|209|2.49098|0.128536
|210|2.52673|0.131045
|211|2.56281|0.133589
|212|2.5992|0.13617
|213|2.63593|0.138788
|214|2.67298|0.141442
|215|2.71035|0.144134
|216|2.74805|0.146863
|217|2.78608|0.14963
|218|2.82444|0.152435
|219|2.86313|0.155279
|220|2.90215|0.158162
|221|2.94151|0.161083
|222|2.98119|0.164045
|223|3.02121|0.167046
|224|3.06157|0.170087
|225|3.10226|0.173169
|226|3.14328|0.176292
|227|3.18465|0.179456
|228|3.22635|0.182661
|229|3.26839|0.185909
|230|3.31077|0.189198
|231|3.35349|0.19253
|232|3.39656|0.195905
|233|3.43996|0.199324
|234|3.48371|0.202785
|235|3.52781|0.206291
|236|3.57225|0.209841
|237|3.61703|0.213436
|238|3.66216|0.217075
|239|3.70764|0.22076
|240|3.75347|0.224491
|241|3.79965|0.228267
|242|3.84617|0.23209
|243|3.89305|0.23596
|244|3.94028|0.239876
|245|3.98786|0.24384
|246|4.03579|0.247852
|247|4.08408|0.251912
|248|4.13272|0.25602
|249|4.18172|0.260178
|250|4.23107|0.264384
|251|4.28078|0.26864
|252|4.33084|0.272946
|253|4.38126|0.277302
|254|4.43204|0.281708
|255|4.48318|0.286166
|256|4.53468|0.290675
|257|4.58654|0.295235
|258|4.63876|0.299848
|259|4.69135|0.304513
|260|4.74429|0.309231
|261|4.7976|0.314002
|262|4.85127|0.318826
|263|4.9053|0.323704
|264|4.9597|0.328637
|265|5.01447|0.333624
|266|5.0696|0.338666
|267|5.12509|0.343763
|268|5.18095|0.348916
|269|5.23718|0.354125
|270|5.29378|0.359391
|271|5.35075|0.364713
|272|5.40808|0.370092
|273|5.46579|0.375529
|274|5.52386|0.381024
|275|5.5823|0.386577
|276|5.64112|0.392189
|277|5.70031|0.397859
|278|5.75986|0.403589
|279|5.81979|0.409379
|280|5.8801|0.415229
|281|5.94077|0.42114
|282|6.00182|0.427111
|283|6.06324|0.433143
|284|6.12504|0.439237
|285|6.18721|0.445394
|286|6.24976|0.451612
|287|6.31268|0.457893
|288|6.37598|0.464238
|289|6.43965|0.470645
|290|6.5037|0.477117
|291|6.56813|0.483653
|292|6.63293|0.490253
|293|6.69811|0.496919
|294|6.76367|0.50365
|295|6.82961|0.510446
|296|6.89592|0.517309
|297|6.96262|0.524238
|298|7.02969|0.531234
|299|7.09714|0.538298
|300|7.16497|0.545429
|301|7.23318|0.552628
|302|7.30177|0.559895
|303|7.37074|0.567231
|304|7.44009|0.574637
|305|7.50983|0.582112
|306|7.57994|0.589657
|307|7.65043|0.597272
|308|7.72131|0.604958
|309|7.79256|0.612715
|310|7.8642|0.620543
|311|7.93622|0.628443
|312|8.00862|0.636415
|313|8.0814|0.64446
|314|8.15456|0.652578
|315|8.22811|0.66077
|316|8.30204|0.669035
|317|8.37635|0.677374
|318|8.45104|0.685788
|319|8.52611|0.694276
|320|8.60157|0.70284
|321|8.67741|0.711479
|322|8.75364|0.720195
|323|8.83024|0.728987
|324|8.90723|0.737855
|325|8.9846|0.746801
|326|9.06236|0.755825
|327|9.14049|0.764926
|328|9.21901|0.774106
|329|9.29792|0.783364
|330|9.3772|0.792702
|331|9.45687|0.802119
|332|9.53692|0.811616
|333|9.61735|0.821193
|334|9.69817|0.830851
|335|9.77937|0.840589
|336|9.86095|0.850409
|337|9.94291|0.860311
|338|10.0253|0.870295
|339|10.108|0.880362
|340|10.1911|0.890511
|341|10.2746|0.900744
|342|10.3585|0.911061
|343|10.4427|0.921461
|344|10.5273|0.931946
|345|10.6124|0.942516
|346|10.6978|0.953171
|347|10.7835|0.963912
|348|10.8697|0.974738
|349|10.9562|0.985651
|350|11.0432|0.996651
|351|11.1305|1.00774
|352|11.2182|1.01891
|353|11.3062|1.03017
|354|11.3947|1.04152
|355|11.4835|1.05296
|356|11.5727|1.06449
|357|11.6623|1.07611
|358|11.7522|1.08782
|359|11.8425|1.09961
|360|11.9333|1.1115
|361|12.0243|1.12348
|362|12.1158|1.13555
|363|12.2077|1.14771
|364|12.2999|1.15997
|365|12.3925|1.17231
|366|12.4854|1.18475
|367|12.5788|1.19728
|368|12.6725|1.20991
|369|12.7666|1.22263
|370|12.8611|1.23544
|371|12.9559|1.24835
|372|13.0512|1.26135
|373|13.1468|1.27445
|374|13.2427|1.28765
|375|13.3391|1.30094
|376|13.4358|1.31433
|377|13.5329|1.32781
|378|13.6303|1.34139
|379|13.7281|1.35507
|380|13.8263|1.36885
|381|13.9249|1.38272
|382|14.0238|1.3967
|383|14.1231|1.41077
|384|14.2228|1.42494
|385|14.3228|1.43922
|386|14.4232|1.45359
|387|14.524|1.46806
|388|14.6251|1.48264
|389|14.7266|1.49731
|390|14.8285|1.51209
|391|14.9307|1.52697
|392|15.0333|1.54195
|393|15.1363|1.55704
|394|15.2396|1.57223
|395|15.3433|1.58752
|396|15.4473|1.60291
|397|15.5517|1.61841
|398|15.6565|1.63402
|399|15.7616|1.64973
|400|15.8671|1.66554
|401|15.9729|1.68146
|402|16.0791|1.69749
|403|16.1857|1.71362
|404|16.2926|1.72986
|405|16.3999|1.7462
|406|16.5075|1.76266
|407|16.6154|1.77922
|408|16.7238|1.79589
|409|16.8324|1.81267
|410|16.9415|1.82955
|411|17.0509|1.84655
|412|17.1606|1.86365
|413|17.2707|1.88087
|414|17.3811|1.8982
|415|17.4919|1.91563
|416|17.603|1.93318
|417|17.7145|1.95084
|418|17.8263|1.96861
|419|17.9384|1.98649
|420|18.0509|2.00449
|421|18.1638|2.02259
|422|18.277|2.04081
|423|18.3905|2.05915
|424|18.5044|2.07759
|425|18.6186|2.09616
|426|18.7331|2.11483
|427|18.848|2.13362
|428|18.9633|2.15253
|429|19.0788|2.17155
|430|19.1947|2.19069
|431|19.3109|2.20994
|432|19.4275|2.22931
|433|19.5444|2.24879
|434|19.6616|2.2684
|435|19.7792|2.28812
|436|19.8971|2.30796
|437|20.0153|2.32791
|438|20.1338|2.34799
|439|20.2527|2.36818
|440|20.3719|2.38849
|441|20.4914|2.40892
|442|20.6113|2.42947
|443|20.7314|2.45015
|444|20.8519|2.47094
|445|20.9727|2.49185
|446|21.0939|2.51288
|447|21.2153|2.53404
|448|21.3371|2.55531
|449|21.4592|2.57671
|450|21.5816|2.59823
|451|21.7043|2.61988
|452|21.8273|2.64164
|453|21.9506|2.66353
|454|22.0743|2.68554
|455|22.1982|2.70768
|456|22.3225|2.72994
|457|22.4471|2.75232
|458|22.572|2.77483
|459|22.6972|2.79747
|460|22.8227|2.82023
|461|22.9485|2.84311
|462|23.0745|2.86612
|463|23.2009|2.88926
|464|23.3276|2.91253
|465|23.4546|2.93592
|466|23.5819|2.95944
|467|23.7095|2.98308
|468|23.8374|3.00686
|469|23.9656|3.03076
|470|24.0941|3.05479
|471|24.2228|3.07894
|472|24.3519|3.10323
|473|24.4812|3.12765
|474|24.6109|3.15219
|475|24.7408|3.17687
|476|24.871|3.20168
|477|25.0015|3.22661
|478|25.1323|3.25168
|479|25.2633|3.27688
|480|25.3946|3.30221
|481|25.5262|3.32767
|482|25.6581|3.35326
|483|25.7903|3.37898
|484|25.9227|3.40484
|485|26.0555|3.43083
|486|26.1884|3.45695
|487|26.3217|3.48321
|488|26.4552|3.50959
|489|26.589|3.53612
|490|26.7231|3.56277
|491|26.8574|3.58956
|492|26.992|3.61649
|493|27.1269|3.64355
|494|27.262|3.67074
|495|27.3974|3.69807
|496|27.533|3.72554
|497|27.6689|3.75314
|498|27.8051|3.78087
|499|27.9415|3.80875
|500|28.0781|3.83676
|501|28.215|3.8649
|502|28.3522|3.89319
|503|28.4896|3.92161
