-65|0.000164428|-220
|Index|joint1_pos|joint2_pos|joint3_pos|joint1_vel|joint2_vel|joint3_vel|
|:-:|:-:|:-:|:-:|:-:|:-:|:-:|:-:|
|0|231780|315803|130437|-39.5257|-47.8164|-28.9049|
|1|231779|315802|130436|-158.102|-191.265|-115.618|
|2|231776|315799|130434|-355.723|-430.34|-260.133|
|3|231772|315793|130431|-632.375|-765.027|-462.431|
|4|231764|315783|130425|-988.031|-1195.3|-722.478|
|5|231752|315769|130416|-1422.65|-1721.12|-1040.21|
|6|231735|315748|130404|-1936.16|-2342.41|-1415.56|
|7|231713|315721|130388|-2528.47|-3059.09|-1848.39|
|8|231684|315687|130367|-3199.47|-3871.04|-2338.54|
|9|231648|315644|130341|-3948.99|-4778.11|-2885.82|
|10|231605|315591|130309|-4776.85|-5780.09|-3489.97|
|11|231553|315528|130271|-5682.8|-6876.77|-4150.68|
|12|231491|315453|130226|-6666.57|-8067.86|-4867.58|
|13|231419|315366|130173|-7727.82|-9353.03|-5640.24|
|14|231336|315266|130113|-8866.15|-10731.9|-6468.13|
|15|231241|315151|130044|-10081.1|-12204|-7350.67|
|16|231134|315021|129966|-11372.2|-13769|-8287.18|
|17|231014|314875|129878|-12738.9|-15426.1|-9276.91|
|18|230879|314713|129780|-14180.4|-17174.8|-10319|
|19|230730|314532|129671|-15696.2|-19014.4|-11412.5|
|20|230565|314332|129551|-17285.3|-20944.2|-12556.3|
|21|230384|314112|129420|-18946.9|-22963.2|-13749.2|
|22|230186|313872|129276|-20680|-25070.7|-14990|
|23|229970|313611|129120|-22483.6|-27265.5|-16277.3|
|24|229736|313327|128951|-24356.5|-29546.8|-17609.5|
|25|229483|313020|128768|-26297.5|-31913.2|-18984.8|
|26|229210|312688|128571|-28305.3|-34363.7|-20401.6|
|27|228916|312332|128359|-30378.3|-36896.9|-21857.8|
|28|228602|311950|128133|-32515|-39511.5|-23351.3|
|29|228266|311541|127892|-34713.9|-42206|-24879.9|
|30|227907|311106|127636|-36973.1|-44979|-26441.1|
|31|227526|310642|127363|-39277.2|-47797.2|-28045.2|
|32|227122|310150|127075|-41611.4|-50628|-29702.8|
