9.79744 0.788221 -99.1857
|Index|x_pos|y_pos|z_pos|x_vel|y_vel|z_vel|joint1_pos|joint2_pos|joint3_pos|joint1_vel|joint2_vel|joint3_vel|
|:-:|:-:|:-:|:-:|:-:|:-:|:-:|:-:|:-:|:-:|:-:|:-:|:-:|:-:|
|0|9.79744|0.788221|-99.1857|-0|-0|-0|-47740|-96888|-15411|0|0|0|
|1|9.79744|0.788221|-99.1857|-6.94506e-005|-7.31876e-007|-0.000112178|-47740|-96888|-15411|0.379392|0.887347|0.0506691|
|2|9.79744|0.788221|-99.1857|-0.000277802|-2.9275e-006|-0.000448712|-47740|-96888|-15411|1.51757|3.54939|0.202676|
|3|9.79744|0.788221|-99.1857|-0.000625055|-6.58688e-006|-0.0010096|-47740|-96888|-15411|3.41452|7.98611|0.456021|
|4|9.79744|0.788221|-99.1857|-0.00111121|-1.171e-005|-0.00179485|-47740|-96888|-15411|6.07025|14.1975|0.810704|
|5|9.79744|0.788221|-99.1857|-0.00173626|-1.82968e-005|-0.00280444|-47740|-96888|-15411|9.48476|22.1836|1.26672|
|6|9.79744|0.788221|-99.1857|-0.00250021|-2.63474e-005|-0.00403839|-47740|-96888|-15411|13.658|31.9443|1.82408|
|7|9.79744|0.788221|-99.1857|-0.00340306|-3.58617e-005|-0.00549669|-47740|-96888|-15411|18.5901|43.4797|2.48277|
|8|9.79744|0.788221|-99.1857|-0.0044448|-4.68396e-005|-0.00717933|-47740|-96888|-15411|24.2808|56.7897|3.24279|
|9|9.79744|0.788221|-99.1857|-0.00562544|-5.92813e-005|-0.00908632|-47740|-96888|-15411|30.7304|71.8742|4.10415|
|10|9.79744|0.788221|-99.1857|-0.00694496|-7.31866e-005|-0.0112176|-47740|-96887.9|-15411|37.9386|88.7334|5.06684|
|11|9.79744|0.788221|-99.1857|-0.00840338|-8.85555e-005|-0.0135733|-47740|-96887.9|-15411|45.9056|107.367|6.13086|
|12|9.79744|0.788221|-99.1857|-0.0100007|-0.000105388|-0.0161533|-47740|-96887.9|-15411|54.6312|127.775|7.2962|
|13|9.79743|0.788221|-99.1857|-0.0117369|-0.000123684|-0.0189576|-47739.9|-96887.9|-15411|64.1156|149.958|8.56288|
|14|9.79743|0.788221|-99.1857|-0.0136119|-0.000143444|-0.0219863|-47739.9|-96887.8|-15411|74.3586|173.915|9.93087|
|15|9.79743|0.788221|-99.1857|-0.0156259|-0.000164667|-0.0252392|-47739.9|-96887.8|-15411|85.3603|199.646|11.4002|
|16|9.79742|0.788221|-99.1857|-0.0177787|-0.000187353|-0.0287165|-47739.9|-96887.8|-15411|97.1206|227.152|12.9708|
|17|9.79742|0.788221|-99.1857|-0.0200704|-0.000211503|-0.0324181|-47739.9|-96887.7|-15411|109.639|256.432|14.6428|
|18|9.79742|0.788221|-99.1857|-0.0225009|-0.000237117|-0.036344|-47739.9|-96887.7|-15411|122.917|287.486|16.4161|
|19|9.79741|0.788221|-99.1857|-0.0250704|-0.000264193|-0.0404941|-47739.8|-96887.6|-15411|136.953|320.314|18.2906|
|20|9.79741|0.788221|-99.1857|-0.0277786|-0.000292733|-0.0448686|-47739.8|-96887.5|-15411|151.748|354.917|20.2665|
|21|9.7974|0.788221|-99.1857|-0.0306258|-0.000322737|-0.0494673|-47739.8|-96887.5|-15411|167.301|391.293|22.3437|
|22|9.79739|0.788221|-99.1857|-0.0336117|-0.000354203|-0.0542903|-47739.7|-96887.4|-15411|183.612|429.443|24.5222|
|23|9.79739|0.788221|-99.1858|-0.0367365|-0.000387133|-0.0593376|-47739.7|-96887.3|-15411|200.682|469.368|26.802|
|24|9.79738|0.78822|-99.1858|-0.0400002|-0.000421525|-0.0646091|-47739.7|-96887.2|-15411|218.511|511.065|29.1831|
|25|9.79737|0.78822|-99.1858|-0.0434027|-0.000457381|-0.0701049|-47739.6|-96887.1|-15410.9|237.097|554.537|31.6655|
|26|9.79736|0.78822|-99.1858|-0.046944|-0.000494699|-0.0758249|-47739.6|-96887|-15410.9|256.443|599.782|34.2492|
|27|9.79735|0.78822|-99.1858|-0.0506241|-0.000533481|-0.0817691|-47739.5|-96886.8|-15410.9|276.546|646.801|36.9342|
|28|9.79734|0.78822|-99.1858|-0.0544431|-0.000573725|-0.0879375|-47739.4|-96886.7|-15410.9|297.408|695.593|39.7204|
|29|9.79733|0.78822|-99.1858|-0.0584008|-0.000615432|-0.0943301|-47739.4|-96886.6|-15410.9|319.028|746.158|42.6079|
|30|9.79732|0.78822|-99.1859|-0.0624973|-0.000658602|-0.100947|-47739.3|-96886.4|-15410.9|341.406|798.497|45.5967|
|31|9.79731|0.78822|-99.1859|-0.0667327|-0.000703234|-0.107788|-47739.2|-96886.2|-15410.9|364.542|852.609|48.6868|
|32|9.79729|0.78822|-99.1859|-0.0711068|-0.000749329|-0.114853|-47739.2|-96886.1|-15410.9|388.436|908.493|51.8781|
|33|9.79728|0.788219|-99.1859|-0.0756197|-0.000796886|-0.122142|-47739.1|-96885.9|-15410.9|413.089|966.151|55.1707|
|34|9.79726|0.788219|-99.186|-0.0802714|-0.000845906|-0.129656|-47739|-96885.7|-15410.9|438.499|1025.58|58.5646|
|35|9.79724|0.788219|-99.186|-0.0850618|-0.000896387|-0.137393|-47738.9|-96885.5|-15410.9|464.668|1086.78|62.0597|
|36|9.79723|0.788219|-99.186|-0.0899909|-0.000948331|-0.145355|-47738.8|-96885.2|-15410.8|491.594|1149.76|65.656|
|37|9.79721|0.788219|-99.186|-0.0950589|-0.00100174|-0.153541|-47738.7|-96885|-15410.8|519.278|1214.51|69.3536|
|38|9.79719|0.788218|-99.1861|-0.100266|-0.00105661|-0.161951|-47738.6|-96884.8|-15410.8|547.72|1281.03|73.1525|
|39|9.79717|0.788218|-99.1861|-0.105611|-0.00111294|-0.170585|-47738.5|-96884.5|-15410.8|576.919|1349.32|77.0526|
|40|9.79715|0.788218|-99.1861|-0.111095|-0.00117073|-0.179443|-47738.4|-96884.2|-15410.8|606.877|1419.38|81.0539|
|41|9.79712|0.788218|-99.1862|-0.116718|-0.00122998|-0.188525|-47738.3|-96883.9|-15410.8|637.592|1491.22|85.1564|
|42|9.7971|0.788218|-99.1862|-0.122479|-0.0012907|-0.197831|-47738.1|-96883.6|-15410.7|669.064|1564.82|89.3601|
|43|9.79708|0.788217|-99.1863|-0.128379|-0.00135287|-0.207361|-47738|-96883.3|-15410.7|701.294|1640.2|93.6651|
|44|9.79705|0.788217|-99.1863|-0.134418|-0.00141651|-0.217115|-47737.8|-96883|-15410.7|734.282|1717.35|98.0713|
|45|9.79702|0.788217|-99.1863|-0.140596|-0.00148161|-0.227093|-47737.7|-96882.6|-15410.7|768.027|1796.27|102.579|
|46|9.79699|0.788216|-99.1864|-0.146912|-0.00154817|-0.237295|-47737.5|-96882.2|-15410.7|802.529|1876.96|107.187|
|47|9.79696|0.788216|-99.1864|-0.153367|-0.00161619|-0.247721|-47737.4|-96881.9|-15410.6|837.788|1959.42|111.897|
|48|9.79693|0.788216|-99.1865|-0.15996|-0.00168567|-0.258371|-47737.2|-96881.5|-15410.6|873.805|2043.65|116.708|
|49|9.7969|0.788215|-99.1865|-0.166692|-0.00175662|-0.269245|-47737|-96881|-15410.6|910.578|2129.66|121.62|
|50|9.79686|0.788215|-99.1866|-0.173563|-0.00182902|-0.280342|-47736.8|-96880.6|-15410.6|948.109|2217.43|126.633|
|51|9.79683|0.788215|-99.1867|-0.180572|-0.00190288|-0.291664|-47736.6|-96880.2|-15410.6|986.396|2306.97|131.748|
|52|9.79679|0.788214|-99.1867|-0.18772|-0.00197821|-0.303209|-47736.4|-96879.7|-15410.5|1025.44|2398.28|136.964|
|53|9.79675|0.788214|-99.1868|-0.195007|-0.00205499|-0.314979|-47736.2|-96879.2|-15410.5|1065.24|2491.36|142.28|
|54|9.79671|0.788213|-99.1868|-0.202432|-0.00213324|-0.326972|-47736|-96878.7|-15410.5|1105.8|2586.21|147.698|
|55|9.79667|0.788213|-99.1869|-0.209995|-0.00221294|-0.339188|-47735.8|-96878.2|-15410.4|1147.11|2682.83|153.217|
|56|9.79663|0.788213|-99.187|-0.217697|-0.00229411|-0.351629|-47735.6|-96877.6|-15410.4|1189.18|2781.22|158.838|
|57|9.79659|0.788212|-99.187|-0.225538|-0.00237673|-0.364293|-47735.3|-96877|-15410.4|1232.01|2881.37|164.559|
|58|9.79654|0.788212|-99.1871|-0.233517|-0.00246082|-0.377181|-47735.1|-96876.5|-15410.3|1275.6|2983.3|170.382|
|59|9.79649|0.788211|-99.1872|-0.241634|-0.00254636|-0.390293|-47734.8|-96875.9|-15410.3|1319.94|3086.99|176.305|
|60|9.79644|0.788211|-99.1873|-0.24989|-0.00263336|-0.403628|-47734.5|-96875.2|-15410.3|1365.03|3192.45|182.33|
|61|9.79639|0.78821|-99.1874|-0.258285|-0.00272183|-0.417187|-47734.3|-96874.6|-15410.2|1410.88|3299.68|188.456|
|62|9.79634|0.78821|-99.1874|-0.266818|-0.00281175|-0.43097|-47734|-96873.9|-15410.2|1457.49|3408.67|194.683|
|63|9.79629|0.788209|-99.1875|-0.275489|-0.00290313|-0.444976|-47733.7|-96873.2|-15410.2|1504.86|3519.43|201.011|
|64|9.79623|0.788208|-99.1876|-0.284299|-0.00299597|-0.459206|-47733.4|-96872.5|-15410.1|1552.98|3631.96|207.44|
|65|9.79617|0.788208|-99.1877|-0.293247|-0.00309026|-0.473659|-47733.1|-96871.8|-15410.1|1601.85|3746.25|213.97|
|66|9.79611|0.788207|-99.1878|-0.302334|-0.00318602|-0.488336|-47732.7|-96871|-15410|1651.48|3862.31|220.602|
|67|9.79605|0.788206|-99.1879|-0.311559|-0.00328323|-0.503236|-47732.4|-96870.2|-15410|1701.87|3980.14|227.334|
|68|9.79599|0.788206|-99.188|-0.320922|-0.0033819|-0.51836|-47732.1|-96869.4|-15409.9|1753.01|4099.73|234.168|
|69|9.79592|0.788205|-99.1881|-0.330424|-0.00348203|-0.533707|-47731.7|-96868.6|-15409.9|1804.91|4221.08|241.102|
|70|9.79586|0.788204|-99.1882|-0.340064|-0.00358362|-0.549278|-47731.3|-96867.7|-15409.8|1857.56|4344.2|248.138|
|71|9.79579|0.788204|-99.1883|-0.349842|-0.00368666|-0.565072|-47731|-96866.8|-15409.8|1910.97|4469.08|255.275|
|72|9.79572|0.788203|-99.1885|-0.359759|-0.00379116|-0.581089|-47730.6|-96865.9|-15409.7|1965.13|4595.73|262.513|
|73|9.79564|0.788202|-99.1886|-0.369813|-0.00389712|-0.59733|-47730.2|-96865|-15409.7|2020.05|4724.14|269.851|
|74|9.79557|0.788201|-99.1887|-0.380007|-0.00400454|-0.613794|-47729.8|-96864|-15409.6|2075.72|4854.32|277.291|
|75|9.79549|0.788201|-99.1888|-0.390338|-0.00411341|-0.630482|-47729.3|-96863.1|-15409.6|2132.14|4986.26|284.832|
|76|9.79541|0.7882|-99.1889|-0.400807|-0.00422374|-0.647392|-47728.9|-96862|-15409.5|2189.32|5119.96|292.474|
|77|9.79533|0.788199|-99.1891|-0.411415|-0.00433552|-0.664526|-47728.5|-96861|-15409.5|2247.26|5255.42|300.217|
|78|9.79525|0.788198|-99.1892|-0.422161|-0.00444876|-0.681883|-47728|-96859.9|-15409.4|2305.95|5392.64|308.061|
|79|9.79516|0.788197|-99.1893|-0.433045|-0.00456346|-0.699463|-47727.5|-96858.9|-15409.3|2365.39|5531.63|316.006|
|80|9.79507|0.788196|-99.1895|-0.444067|-0.00467961|-0.717266|-47727.1|-96857.7|-15409.3|2425.59|5672.37|324.052|
|81|9.79498|0.788195|-99.1896|-0.455228|-0.00479722|-0.735293|-47726.6|-96856.6|-15409.2|2486.54|5814.88|332.199|
|82|9.79489|0.788194|-99.1898|-0.466526|-0.00491629|-0.753542|-47726.1|-96855.4|-15409.1|2548.24|5959.15|340.447|
|83|9.7948|0.788193|-99.1899|-0.477963|-0.00503681|-0.772015|-47725.5|-96854.2|-15409.1|2610.7|6105.18|348.796|
|84|9.7947|0.788192|-99.1901|-0.489537|-0.00515878|-0.79071|-47725|-96853|-15409|2673.91|6252.96|357.245|
|85|9.7946|0.788191|-99.1903|-0.50125|-0.00528221|-0.809629|-47724.5|-96851.7|-15408.9|2737.88|6402.51|365.796|
|86|9.7945|0.78819|-99.1904|-0.5131|-0.00540709|-0.82877|-47723.9|-96850.4|-15408.9|2802.59|6553.81|374.448|
|87|9.7944|0.788189|-99.1906|-0.525089|-0.00553343|-0.848134|-47723.4|-96849.1|-15408.8|2868.06|6706.87|383.201|
|88|9.79429|0.788188|-99.1908|-0.537216|-0.00566122|-0.867721|-47722.8|-96847.7|-15408.7|2934.29|6861.69|392.055|
|89|9.79418|0.788187|-99.1909|-0.54948|-0.00579046|-0.887531|-47722.2|-96846.3|-15408.6|3001.26|7018.27|401.01|
|90|9.79407|0.788186|-99.1911|-0.561883|-0.00592116|-0.907564|-47721.6|-96844.9|-15408.5|3068.99|7176.6|410.065|
|91|9.79396|0.788184|-99.1913|-0.574423|-0.00605331|-0.92782|-47721|-96843.5|-15408.5|3137.47|7336.69|419.222|
|92|9.79384|0.788183|-99.1915|-0.587101|-0.00618692|-0.948298|-47720.3|-96842|-15408.4|3206.7|7498.54|428.479|
|93|9.79372|0.788182|-99.1917|-0.599917|-0.00632198|-0.968999|-47719.7|-96840.5|-15408.3|3276.69|7662.14|437.838|
|94|9.7936|0.788181|-99.1919|-0.612871|-0.00645849|-0.989922|-47719|-96838.9|-15408.2|3347.43|7827.49|447.297|
|95|9.79348|0.788179|-99.1921|-0.625963|-0.00659645|-1.01107|-47718.3|-96837.3|-15408.1|3418.91|7994.6|456.858|
|96|9.79335|0.788178|-99.1923|-0.639193|-0.00673586|-1.03244|-47717.6|-96835.7|-15408|3491.15|8163.47|466.519|
|97|9.79322|0.788177|-99.1925|-0.65256|-0.00687673|-1.05403|-47716.9|-96834.1|-15407.9|3564.14|8334.08|476.281|
|98|9.79309|0.788175|-99.1927|-0.666065|-0.00701905|-1.07584|-47716.2|-96832.4|-15407.8|3637.89|8506.45|486.144|
|99|9.79295|0.788174|-99.1929|-0.679708|-0.00716282|-1.09788|-47715.5|-96830.7|-15407.7|3712.38|8680.57|496.108|
