-65|0.000164428|-220
|Index|x_pos|y_pos|z_pos|x_vel|y_vel|z_vel|
|:-:|:-:|:-:|:-:|:-:|:-:|:-:|:-:|
|0|-65|0.000164428|-220|0.00763508|0|0.0150978|
|1|-64.9998|0.000164428|-220|0.0305406|0|0.060391|
|2|-64.9993|0.000164428|-219.999|0.0687185|0|0.135878|
|3|-64.9984|0.000164428|-219.997|0.122173|0|0.241553|
|4|-64.9968|0.000164428|-219.994|0.190913|0|0.377409|
|5|-64.9945|0.000164428|-219.989|0.274953|0|0.543431|
|6|-64.9912|0.000164428|-219.983|0.374315|0|0.739596|
|7|-64.9869|0.000164428|-219.974|0.489027|0|0.965875|
|8|-64.9814|0.000164428|-219.963|0.61913|0|1.22223|
|9|-64.9745|0.000164428|-219.95|0.764675|0|1.5086|
|10|-64.9661|0.000164428|-219.933|0.925724|0|1.82493|
|11|-64.9559|0.000164428|-219.913|1.10236|0|2.17115|
|12|-64.944|0.000164428|-219.89|1.29466|0|2.54714|
|13|-64.93|0.000164428|-219.862|1.50275|0|2.95281|
|14|-64.9139|0.000164428|-219.83|1.72675|0|3.38803|
|15|-64.8954|0.000164428|-219.794|1.96681|0|3.85263|
|16|-64.8745|0.000164428|-219.753|2.22308|0|4.34646|
|17|-64.8509|0.000164428|-219.707|2.49577|0|4.86931|
|18|-64.8245|0.000164428|-219.656|2.78509|0|5.42097|
|19|-64.7951|0.000164428|-219.599|3.09126|0|6.00119|
|20|-64.7626|0.000164428|-219.536|3.41455|0|6.6097|
|21|-64.7268|0.000164428|-219.466|3.75524|0|7.24618|
|22|-64.6875|0.000164428|-219.391|4.11365|0|7.91031|
|23|-64.6445|0.000164428|-219.308|4.49012|0|8.60173|
|24|-64.5976|0.000164428|-219.219|4.88502|0|9.32001|
|25|-64.5467|0.000164428|-219.122|5.29876|0|10.0647|
|26|-64.4916|0.000164428|-219.017|5.73175|0|10.8354|
|27|-64.432|0.000164428|-218.905|6.18447|0|11.6315|
|28|-64.3678|0.000164428|-218.784|6.65741|0|12.4526|
